Route,Type,Time
3,Send,2/14/22 2:35 PM
35,Send,2/14/22 3:28 PM
38,Send,2/14/22 4:21 PM
13,Send,4/26/22 2:01 PM
13,Send,4/26/22 2:01 PM
3,Send,4/26/22 3:19 PM
35,Send,4/26/22 11:49 AM
23,Send,4/26/22 5:12 PM
3,Send,2/17/22 3:09 PM
23,Send,2/17/22 3:59 PM
38,Send,2/17/22 5:11 PM
3,Send,2/18/22 1:26 PM
23,Send,2/18/22 2:14 PM
32,Send,2/18/22 3:44 PM
35,Send,3/17/22 10:23 AM
38,Send,3/17/22 1:08 PM
13,Send,3/17/22 2:11 PM
23,Send,3/17/22 2:14 PM
32,Send,3/17/22 2:23 PM
32,Send,3/16/22 3:57 PM
32,Send,3/16/22 3:59 PM
3,Send,3/16/22 4:57 PM
23,Send,3/16/22 5:01 PM
38,Send,3/16/22 3:38 PM
3,Send,3/17/22 3:54 PM
3,Send,3/17/22 4:08 PM
3,Send,3/18/22 12:50 PM
35,Send,3/18/22 1:32 PM
3,Send,3/15/22 3:37 PM
35,Send,3/15/22 5:03 PM
32,Send,3/15/22 5:04 PM
38,Send,3/15/22 5:31 PM
35,Send,3/16/22 8:12 AM
23,Send,3/15/22 4:13 PM
13,Send,3/16/22 2:27 PM
38,Send,3/24/22 3:28 PM
3,Send,3/24/22 4:25 PM
23,Send,3/25/22 12:53 PM
38,Send,3/25/22 1:04 PM
35,Send,3/25/22 12:17 PM
13,Send,3/25/22 1:48 PM
13,Send,3/25/22 1:49 PM
32,Send,3/25/22 4:15 PM
3,Send,3/28/22 5:31 AM
3,Send,3/28/22 5:31 AM
13,Send,3/18/22 2:42 PM
23,Send,3/18/22 12:34 PM
32,Send,3/18/22 3:51 PM
38,Send,3/18/22 4:17 PM
3,Send,5/10/22 2:36 PM
32,Send,5/10/22 1:31 PM
13,Send,5/10/22 2:04 PM
3,Send,5/10/22 3:11 PM
23,Send,5/10/22 3:28 PM
3,Send,3/22/22 3:14 PM
38,Send,3/22/22 4:25 PM
38,Send,3/22/22 4:25 PM
32,Send,3/23/22 2:00 PM
13,Send,3/23/22 1:05 PM
35,Send,3/23/22 1:38 PM
3,Send,3/23/22 3:39 PM
3,Send,3/23/22 3:43 PM
38,Send,3/23/22 4:12 PM
23,Send,3/23/22 5:47 PM
35,Send,3/24/22 10:26 AM
13,Send,3/24/22 2:59 PM
23,Send,3/24/22 4:08 PM
32,Send,3/24/22 2:32 PM
13,Send,3/30/22 1:15 PM
35,Send,3/30/22 12:43 PM
38,Send,3/30/22 3:14 PM
23,Send,3/30/22 6:28 PM
23,Send,3/30/22 6:29 PM
32,Send,3/30/22 3:41 PM
3,Send,3/30/22 5:37 PM
13,Send,3/28/22 1:47 PM
13,Send,3/28/22 1:48 PM
35,Send,3/28/22 3:03 PM
3,Send,6/21/22 3:21 PM
23,Send,6/21/22 6:00 PM
32,Send,6/21/22 1:01 PM
32,Send,6/21/22 1:04 PM
23,Send,6/24/22 3:54 PM
23,Send,6/23/22 4:22 PM
35,Send,6/23/22 4:25 PM
