Route,Type,Time
6,Send,9/22/22 3:02 PM
51,Send,9/22/22 2:51 PM
12,Send,9/22/22 3:27 PM
50,Send,9/22/22 5:09 PM
56,Send,9/22/22 4:27 PM
52,Send,9/16/22 11:26 AM
8040,Send,9/16/22 11:57 AM
51,Send,9/16/22 12:47 PM
12,Send,9/16/22 12:47 PM
8010,Send,9/16/22 12:58 PM
56,Send,9/16/22 12:58 PM
6,Send,9/16/22 1:47 PM
50,Send,9/16/22 1:51 PM
47,Send,9/16/22 2:15 PM
8040,Send,9/19/22 1:57 PM
52,Send,9/19/22 3:18 PM
56,Send,9/19/22 3:57 PM
12,Send,9/19/22 4:11 PM
12,Send,9/19/22 4:12 PM
12,Send,10/3/22 8:40 AM
50,Send,10/3/22 11:36 AM
12,Send,10/3/22 1:45 PM
56,Send,10/3/22 3:41 PM
51,Send,10/4/22 1:01 PM
8040,Send,10/4/22 1:50 PM
8060,Send,10/4/22 2:09 PM
6,Send,10/4/22 2:39 PM
51,Send,10/11/22 2:29 PM
56,Send,10/11/22 3:36 PM
12,Send,10/11/22 4:16 PM
56,Send,10/11/22 4:18 PM
50,Send,10/12/22 11:35 AM
52,Send,10/12/22 12:11 PM
8010,Send,10/12/22 12:56 PM
6,Send,10/12/22 2:18 PM
8040,Send,10/12/22 2:25 PM
8040,Send,9/15/22 11:47 AM
52,Send,9/15/22 12:05 PM
47,Send,9/15/22 1:16 PM
56,Send,9/15/22 3:25 PM
12,Send,9/15/22 4:16 PM
50,Send,9/15/22 3:54 PM
8040,Send,9/16/22 11:47 AM
50,Send,9/20/22 1:08 PM
6,Send,9/20/22 3:00 PM
56,Send,11/21/22 6:11 PM
12,Send,11/21/22 8:36 PM
50,Send,11/22/22 6:10 AM
56,Send,11/22/22 12:03 PM
52,Send,11/22/22 12:36 PM
52,Send,11/22/22 1:01 PM
52,Send,11/22/22 1:13 PM
8040,Send,11/22/22 1:13 PM
50,Send,11/22/22 1:27 PM
8060,Send,11/22/22 11:47 AM
8010,Send,11/22/22 12:46 PM
